host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,reviews_per_month,gender,#amenities,first_review_year,last_review_year,host_since_year,shared_bathroom,review_scores_rating
"New York, NY",within a few hours,> 99,(78 - 98],f,other,t,t,Bushwick,Brooklyn,Entire home,Entire home/apt,> 3,> 1,> 1,> 2,> 200,> 12,> 1,1,f,> 0.73,male,> 32,<= 2,<= 2,(6 - 9],0,4.85
"New York, NY",NA,NA,NA,f,other,t,t,East Harlem,Manhattan,Private room in townhouse,Private room,<= 2,NA,NA,NA,NA,<= 1,<= 1,0,f,<= 0.15,female,> 32,(2 - 6],> 2,(6 - 9],1,5.0
other,NA,NA,<= 78,f,Williamsburg,t,t,Williamsburg,Brooklyn,Entire rental unit,Entire home/apt,(2 - 3],NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,(0.15 - 0.73],female,> 32,<= 2,<= 2,<= 6,0,4.75
other,NA,NA,NA,f,other,t,t,East Village,Manhattan,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,<= 1,<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,> 9,0,5.0
"New York, NY",within a few hours,> 99,(78 - 98],f,other,t,t,other,Manhattan,other,Private room,<= 2,> 1,<= 1,<= 1,<= 100,(1 - 12],> 1,0,f,(0.15 - 0.73],unknown,(16 - 32],(2 - 6],<= 2,(6 - 9],1,4.64
"New York, NY",within an hour,<= 99,(78 - 98],f,other,t,t,other,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,> 12,> 1,1,f,> 0.73,male,(16 - 32],<= 2,<= 2,<= 6,1,4.32
"New York, NY",within an hour,> 99,(78 - 98],t,other,t,t,other,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],> 1,0,f,(0.15 - 0.73],male,> 32,<= 2,<= 2,> 9,0,5.0
"New York, NY",within a few hours,> 99,<= 78,f,other,t,t,West Village,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,> 200,> 12,> 1,0,t,> 0.73,male,(16 - 32],> 6,<= 2,> 9,0,4.75
"New York, NY",NA,NA,NA,f,other,t,t,West Village,Manhattan,Entire rental unit,Entire home/apt,(2 - 3],NA,<= 1,NA,NA,> 12,<= 1,0,f,(0.15 - 0.73],female,(16 - 32],(2 - 6],> 2,> 9,0,4.5
"New York, NY",within an hour,> 99,(78 - 98],f,Upper East Side,t,t,Upper East Side,Manhattan,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,> 2,(100 - 200],(1 - 12],> 1,0,f,<= 0.15,unknown,<= 16,(2 - 6],<= 2,> 9,0,4.83
other,NA,NA,NA,f,other,t,t,other,Brooklyn,Entire rental unit,Entire home/apt,<= 2,NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,(6 - 9],0,5.0
"New York, NY",within an hour,> 99,<= 78,t,other,t,t,other,Manhattan,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,(1 - 2],> 200,> 12,> 1,1,f,(0.15 - 0.73],male,> 32,(2 - 6],<= 2,> 9,0,4.88
other,NA,NA,NA,f,Bushwick,t,t,Bushwick,Brooklyn,Entire rental unit,Entire home/apt,> 3,NA,> 1,NA,NA,(1 - 12],<= 1,0,f,(0.15 - 0.73],unknown,(16 - 32],(2 - 6],> 2,<= 6,0,4.92
other,NA,NA,NA,f,other,t,t,East Village,Manhattan,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,> 9,0,4.5
"New York, NY",within an hour,> 99,<= 78,f,Williamsburg,t,t,Williamsburg,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,> 12,> 1,0,f,(0.15 - 0.73],unknown,<= 16,<= 2,<= 2,(6 - 9],1,4.5
"New York, NY",NA,NA,> 98,f,other,t,t,other,Brooklyn,Entire rental unit,Entire home/apt,> 3,NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,(0.15 - 0.73],female,> 32,<= 2,<= 2,> 9,0,4.92
other,NA,NA,NA,f,other,t,t,Financial District,Manhattan,Entire rental unit,Entire home/apt,<= 2,NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,(6 - 9],0,4.57
"New York, NY",NA,NA,NA,f,Bedford-Stuyvesant,t,f,Bedford-Stuyvesant,Brooklyn,Private room in rental unit,Private room,<= 2,NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,unknown,<= 16,> 6,> 2,(6 - 9],1,4.0
"New York, NY",NA,NA,NA,f,Bedford-Stuyvesant,t,f,Bedford-Stuyvesant,Brooklyn,Private room in rental unit,Private room,<= 2,NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,(6 - 9],0,4.67
"New York, NY",within an hour,> 99,(78 - 98],t,other,t,t,other,Brooklyn,other,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,>1,f,> 0.73,male,> 32,> 6,<= 2,(6 - 9],1,4.95
"New York, NY",within an hour,> 99,<= 78,f,Upper East Side,t,t,Upper East Side,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,> 2,(100 - 200],> 12,> 1,0,f,(0.15 - 0.73],female,> 32,(2 - 6],<= 2,(6 - 9],0,4.93
other,NA,NA,NA,f,Williamsburg,t,t,Williamsburg,Brooklyn,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,(1 - 12],<= 1,0,t,<= 0.15,female,(16 - 32],> 6,> 2,> 9,1,4.67
"New York, NY",within a day,<= 99,<= 78,f,Williamsburg,t,t,Williamsburg,Brooklyn,Entire rental unit,Entire home/apt,> 3,<= 1,<= 1,<= 1,(100 - 200],> 12,<= 1,0,f,(0.15 - 0.73],male,(16 - 32],> 6,> 2,> 9,0,4.79
"New York, NY",NA,NA,NA,f,other,t,t,Prospect-Lefferts Gardens,Brooklyn,Entire rental unit,Entire home/apt,(2 - 3],NA,<= 1,NA,NA,<= 1,<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,(6 - 9],0,4.0
"New York, NY",NA,NA,NA,f,other,t,t,Harlem,Manhattan,Entire rental unit,Entire home/apt,<= 2,NA,<= 1,NA,NA,<= 1,<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,> 9,0,5.0
"New York, NY",within an hour,> 99,> 98,f,other,t,t,Midtown,Manhattan,Private room in condo,Private room,> 3,<= 1,<= 1,> 2,(100 - 200],> 12,> 1,>1,t,> 0.73,female,> 32,(2 - 6],<= 2,<= 6,1,4.35
"New York, NY",NA,NA,NA,f,other,t,f,other,Manhattan,Entire rental unit,Entire home/apt,<= 2,NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,> 9,0,5.0
other,NA,NA,NA,f,other,t,t,East Harlem,Manhattan,Entire rental unit,Entire home/apt,> 3,NA,> 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,> 9,0,4.67
"New York, NY",NA,NA,NA,f,Astoria,t,t,Astoria,Queens,Entire rental unit,Entire home/apt,> 3,NA,> 1,NA,NA,<= 1,<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,> 9,0,5.0
other,NA,NA,NA,f,other,t,f,West Village,Manhattan,Entire rental unit,Entire home/apt,(2 - 3],NA,<= 1,NA,NA,<= 1,<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,> 9,0,5.0
"New York, NY",NA,NA,NA,f,Crown Heights,t,t,Crown Heights,Brooklyn,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,(16 - 32],> 6,> 2,(6 - 9],0,5.0
"New York, NY",NA,NA,<= 78,f,Bushwick,t,t,Bushwick,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,> 9,0,5.0
"New York, NY",within a day,> 99,<= 78,t,Greenpoint,t,t,Williamsburg,Brooklyn,Entire rental unit,Entire home/apt,> 3,> 1,> 1,(1 - 2],> 200,> 12,> 1,0,f,(0.15 - 0.73],male,> 32,> 6,<= 2,> 9,0,4.97
other,NA,NA,NA,f,other,t,t,other,Brooklyn,Entire rental unit,Entire home/apt,> 3,NA,> 1,NA,NA,> 12,<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,> 9,0,4.79
"New York, NY",within an hour,> 99,(78 - 98],f,Cambridge,t,t,Theater District,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,> 200,<= 1,<= 1,0,t,(0.15 - 0.73],unknown,> 32,<= 2,<= 2,(6 - 9],0,5.0
"New York, NY",NA,NA,NA,f,other,t,t,Prospect-Lefferts Gardens,Brooklyn,Entire rental unit,Entire home/apt,> 3,NA,<= 1,NA,NA,> 12,<= 1,0,f,(0.15 - 0.73],female,(16 - 32],> 6,> 2,(6 - 9],0,4.82
other,within a day,> 99,<= 78,f,other,t,t,Upper West Side,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],<= 1,<= 1,0,f,<= 0.15,female,> 32,<= 2,<= 2,<= 6,0,5.0
other,NA,NA,NA,f,Long Island City,t,f,Long Island City,Queens,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,<= 1,<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,(6 - 9],0,5.0
"New York, NY",within an hour,> 99,(78 - 98],f,other,t,t,Midtown,Manhattan,Room in hotel,Private room,> 3,<= 1,<= 1,(1 - 2],(100 - 200],<= 1,<= 1,0,t,<= 0.15,unknown,(16 - 32],<= 2,<= 2,<= 6,0,1.0
"New York, NY",within an hour,<= 99,> 98,f,other,t,t,other,Manhattan,Room in hotel,Private room,<= 2,<= 1,<= 1,<= 1,> 200,> 12,> 1,0,f,> 0.73,unknown,(16 - 32],<= 2,<= 2,(6 - 9],0,4.71
"New York, NY",NA,NA,NA,f,other,t,t,other,Brooklyn,Entire rental unit,Entire home/apt,(2 - 3],NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,(16 - 32],(2 - 6],> 2,> 9,0,4.86
other,within a few hours,<= 99,(78 - 98],f,other,t,t,East Village,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],> 1,0,f,(0.15 - 0.73],unknown,<= 16,<= 2,<= 2,<= 6,0,4.0
"New York, NY",NA,NA,NA,f,Bushwick,t,t,Williamsburg,Brooklyn,other,Shared room,<= 2,NA,NA,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,(16 - 32],(2 - 6],> 2,> 9,1,4.88
"New York, NY",NA,NA,NA,f,Upper West Side,t,t,Upper West Side,Manhattan,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,<= 1,<= 1,0,f,<= 0.15,unknown,<= 16,> 6,> 2,(6 - 9],0,5.0
"New York, NY",NA,NA,NA,f,other,t,t,Midtown,Manhattan,Entire rental unit,Entire home/apt,<= 2,NA,NA,NA,NA,<= 1,<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,(6 - 9],0,4.0
other,NA,NA,NA,f,Bedford-Stuyvesant,f,f,Bedford-Stuyvesant,Brooklyn,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,<= 1,<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,(6 - 9],0,4.0
other,NA,NA,NA,f,other,t,t,Bedford-Stuyvesant,Brooklyn,Private room in townhouse,Private room,<= 2,NA,> 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,(16 - 32],> 6,> 2,(6 - 9],0,5.0
"New York, NY",a few days or more,<= 99,<= 78,f,other,t,t,East Village,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],<= 1,0,f,<= 0.15,unknown,<= 16,> 6,> 2,> 9,0,4.88
"New York, NY",within a day,<= 99,> 98,f,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Private room in rental unit,Private room,<= 2,> 1,<= 1,<= 1,(100 - 200],> 12,> 1,0,t,> 0.73,male,> 32,<= 2,<= 2,<= 6,1,4.77
"New York, NY",NA,NA,<= 78,f,Williamsburg,t,t,Williamsburg,Brooklyn,Entire loft,Entire home/apt,> 3,> 1,> 1,> 2,(100 - 200],> 12,> 1,0,f,> 0.73,unknown,> 32,<= 2,<= 2,> 9,0,4.73
"New York, NY",within a day,> 99,<= 78,f,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,> 1,> 2,(100 - 200],> 12,<= 1,0,f,(0.15 - 0.73],female,(16 - 32],> 6,<= 2,(6 - 9],0,4.88
"New York, NY",NA,NA,NA,f,other,t,t,Theater District,Manhattan,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,unknown,(16 - 32],> 6,> 2,(6 - 9],0,4.5
"New York, NY",NA,NA,NA,f,Hell's Kitchen,t,t,Hell's Kitchen,Manhattan,Entire rental unit,Entire home/apt,<= 2,NA,NA,NA,NA,> 12,<= 1,0,f,> 0.73,unknown,(16 - 32],> 6,> 2,(6 - 9],0,4.95
"New York, NY",NA,NA,NA,f,Williamsburg,t,t,Williamsburg,Brooklyn,Entire rental unit,Entire home/apt,<= 2,NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,> 9,0,5.0
other,NA,NA,NA,f,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,<= 1,<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,(6 - 9],0,4.0
