host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_identity_verified,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,reviews_per_month,#amenities,first_review_year,last_review_year,host_since_year,shared_bathroom,review_scores_rating
within an hour,>99.0,>98.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,<=1.0,>200.0,>12.0,>1.0,>1,t,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.44
a few days or more,<=99.0,<=78.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],>12.0,<=1.0,0,f,>0.73,<=16.0,>6.0,>2.0,>9.0,0,4.7
within a few hours,>99.0,(78.0-98.0],t,Williamsburg,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],<=16.0,>6.0,>2.0,(6.0-9.0],0,4.94
NA,NA,NA,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],<=16.0,>6.0,>2.0,>9.0,1,4.87
NA,NA,NA,f,Bedford-Stuyvesant,f,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.67
NA,NA,NA,f,Upper West Side,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],>32.0,>6.0,<=2.0,>9.0,0,4.89
within an hour,>99.0,>98.0,t,other,t,Brooklyn,Entire home,Entire home/apt,<=2.0,<=1.0,<=1.0,(1.0-2.0],(100.0-200.0],>12.0,>1.0,0,f,>0.73,>32.0,(2.0-6.0],<=2.0,(6.0-9.0],0,4.9
NA,NA,NA,f,Park Slope,t,Brooklyn,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,>2.0,>9.0,0,5.0
NA,NA,NA,f,Williamsburg,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,>2.0,(6.0-9.0],1,5.0
NA,NA,NA,f,Hell's Kitchen,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],>6.0,>2.0,(6.0-9.0],0,5.0
within a day,<=99.0,<=78.0,f,Hell's Kitchen,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,<=2.0,(6.0-9.0],0,4.88
NA,NA,NA,f,Williamsburg,t,Brooklyn,other,Private room,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],>6.0,>2.0,>9.0,1,4.74
within a few hours,>99.0,>98.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,(1.0-2.0],(100.0-200.0],>12.0,>1.0,0,f,>0.73,>32.0,>6.0,<=2.0,>9.0,0,4.52
NA,NA,NA,f,other,f,Brooklyn,Entire loft,Entire home/apt,>3.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,t,(0.15-0.73],(16.0-32.0],>6.0,>2.0,(6.0-9.0],0,4.92
NA,NA,NA,f,Williamsburg,t,Brooklyn,Entire rental unit,Entire home/apt,(2.0-3.0],NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.71
within a day,<=99.0,<=78.0,f,Hell's Kitchen,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],<=1.0,0,f,(0.15-0.73],<=16.0,(2.0-6.0],<=2.0,(6.0-9.0],0,4.0
within an hour,>99.0,(78.0-98.0],f,other,t,Queens,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,>12.0,>1.0,0,f,(0.15-0.73],<=16.0,>6.0,<=2.0,>9.0,0,4.95
NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,>0.73,(16.0-32.0],>6.0,>2.0,(6.0-9.0],1,4.81
NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,>2.0,(6.0-9.0],0,5.0
within a few hours,<=99.0,<=78.0,t,other,t,Manhattan,other,Private room,<=2.0,<=1.0,>1.0,(1.0-2.0],>200.0,>12.0,>1.0,0,f,(0.15-0.73],>32.0,(2.0-6.0],<=2.0,>9.0,0,4.96
NA,NA,NA,f,Williamsburg,t,Brooklyn,Entire loft,Entire home/apt,>3.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,f,>0.73,>32.0,<=2.0,<=2.0,(6.0-9.0],0,4.89
within an hour,<=99.0,<=78.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],>1.0,1,f,(0.15-0.73],>32.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,Bushwick,t,Brooklyn,other,Private room,(2.0-3.0],NA,<=1.0,NA,NA,>12.0,<=1.0,0,t,(0.15-0.73],(16.0-32.0],>6.0,>2.0,>9.0,1,4.79
NA,NA,NA,f,Harlem,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],1,4.0
NA,NA,NA,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,(2.0-3.0],NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,>2.0,(6.0-9.0],0,4.6
NA,NA,NA,f,other,f,Brooklyn,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.5
a few days or more,<=99.0,<=78.0,f,other,t,Brooklyn,Entire condo,Entire home/apt,>3.0,<=1.0,<=1.0,(1.0-2.0],(100.0-200.0],>12.0,>1.0,0,f,>0.73,<=16.0,<=2.0,<=2.0,(6.0-9.0],0,4.61
