host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_identity_verified,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,reviews_per_month,#amenities,first_review_year,last_review_year,host_since_year,shared_bathroom,review_scores_rating
Justin,NA,NA,>98.0,f,other,t,Manhattan,Room in hotel,Private room,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,>0.73,(16.0-32.0],(2.0-6.0],<=2.0,<=6.0,0,4.79
Annie,NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,(6.0-9.0],0,4.0
Ken,within an hour,>99.0,>98.0,f,Long Island City,t,Manhattan,other,Shared room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,(6.0-9.0],1,4.83
Momoyo,within a few hours,<=99.0,<=78.0,f,other,t,Queens,Private room in townhouse,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,<=6.0,1,4.0
Pod,within a few hours,<=99.0,(78.0-98.0],f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,>1.0,>1.0,(1.0-2.0],>200.0,(1.0-12.0],>1.0,0,t,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,0,5.0
Jerry & Lynn,within an hour,>99.0,<=78.0,t,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,>200.0,<=1.0,<=1.0,0,f,<=0.15,>32.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
Briana,within an hour,>99.0,<=78.0,t,other,f,Brooklyn,Private room in townhouse,Private room,<=2.0,>1.0,>1.0,(1.0-2.0],>200.0,>12.0,>1.0,>1,f,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.92
Christina,within an hour,>99.0,>98.0,t,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,>200.0,>12.0,>1.0,1,f,(0.15-0.73],>32.0,<=2.0,<=2.0,>9.0,0,4.85
Patrick,NA,NA,NA,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,(6.0-9.0],1,5.0
Ventrice,NA,NA,NA,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,>9.0,0,5.0
Janice,within an hour,>99.0,>98.0,f,other,t,Queens,Private room in home,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,>1,f,>0.73,(16.0-32.0],<=2.0,<=2.0,<=6.0,0,4.76
Bree,NA,NA,NA,f,Crown Heights,t,Brooklyn,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,(6.0-9.0],0,4.9
Briana,within an hour,>99.0,<=78.0,t,other,f,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],>1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,0,5.0
Kelly,NA,NA,NA,f,Williamsburg,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,>9.0,0,4.8
Mariana,within a few hours,>99.0,<=78.0,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,t,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,>9.0,1,5.0
Raluca,within an hour,>99.0,<=78.0,f,Harlem,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],<=2.0,>9.0,0,4.67
